restaurant_name,city,cuisines,average_cost_for_two,aggregate_rating,votes
Le Petit Souffle,Makati City,"French, Japanese, Desserts",1100,4.8,314
Izakaya Kikufuji,Makati City,Japanese,1200,4.5,591
Heat - Edsa Shangri-La,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000,4.4,270
Ooma,Mandaluyong City,"Japanese, Sushi",1500,4.9,365
Sambo Kojin,Mandaluyong City,"Japanese, Korean",1500,4.8,229
Din Tai Fung,Mandaluyong City,Chinese,1000,4.4,336
Buffet 101,Pasay City,"Asian, European",2000,4.0,520
Vikings,Pasay City,"Seafood, Filipino, Asian, European",2000,4.2,677
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"European, Asian, Indian",6000,4.9,621
Locavore,Pasig City,Filipino,1100,4.8,532
Silantro Fil-Mex,Pasig City,"Filipino, Mexican",800,4.9,1070
Mad Mark'S Creamery & Good Eats,Pasig City,"American, Ice Cream, Desserts",900,4.2,488
Silantro Fil-Mex,Quezon City,"Filipino, Mexican",800,4.8,294
Guevarra'S,San Juan City,Filipino,1000,4.2,458
Sodam Korean Restaurant,San Juan City,Korean,700,4.3,223
Cafe Arabelle,Santa Rosa,"Cafe, American, Italian, Filipino",800,3.6,29
Nonna'S Pasta & Pizzeria,Santa Rosa,"Italian, Pizza",850,4.0,72
Balay Dako,Tagaytay City,Filipino,1200,4.5,211
Hobing Korean Dessert Cafe,Taguig City,"Cafe, Korean, Desserts",600,4.5,118
Wildflour Cafe + Bakery,Taguig City,"Cafe, Bakery, American, Italian",1500,4.4,392
Niu By Vikings,Taguig City,"Seafood, American, Mediterranean, Japanese",3000,4.7,535
The Food Hall By Todd English,Taguig City,"American, Asian, Italian, Seafood",1800,4.5,618
Chez Michou,Brasн_lia,"Fast Food, French",55,3.0,6
Cafн© Daniel Briand,Brasн_lia,Cafe,30,3.8,9
Casa Do Biscoito Mineiro,Brasн_lia,Bakery,45,3.7,11
Maori,Brasн_lia,Brazilian,60,3.8,11
Pizza Нж Bessa,Brasн_lia,Pizza,50,3.2,11
Sushi Loko,Brasн_lia,Japanese,80,3.1,10
Beirute,Brasн_lia,Arabian,90,3.7,8
New Koto,Brasн_lia,Japanese,200,3.7,5
Sandubas Cafн©,Brasн_lia,"Brazilian, Cafe",30,0.0,2
Villa Tevere,Brasн_lia,Italian,150,4.1,12
Rovereto,Brasн_lia,Pizza,100,3.1,9
Buena Carne,Brasн_lia,"Bar Food, Brazilian",60,3.6,9
Taco Pep,Brasн_lia,"Mexican, Grill",100,4.3,29
Coco Bambu,Brasн_lia,International,230,4.2,17
Taypнз,Brasн_lia,"Peruvian, Latin American",100,3.6,5
Outback Steakhouse,Brasн_lia,"American, Grill",150,4.0,10
Manzuнз,Brasн_lia,Seafood,240,3.2,6
Coco Bambu,Brasн_lia,International,230,4.9,30
Gero,Brasн_lia,Italian,350,3.3,8
Brazilian American Burgers,Brasн_lia,"American, Burger",50,3.6,9
Pesqueiro Eco Gourmet,Rio de Janeiro,"Seafood, Bar Food, Brazilian",140,4.0,7
Confeitaria Colombo,Rio de Janeiro,"Desserts, Cafe",100,4.8,29
Bibi,Rio de Janeiro,"Juices, Healthy Food",60,4.7,24
Cervantes,Rio de Janeiro,"Beverages, Bar Food, Fast Food",90,4.5,29
Amir,Rio de Janeiro,Lebanese,170,4.2,11
Tt Burger,Rio de Janeiro,Burger,60,4.8,19
Braseiro Da Gнзvea,Rio de Janeiro,"Brazilian, Bar Food",100,4.9,40
Balada Mix,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",90,4.6,21
Garota De Ipanema,Rio de Janeiro,"Brazilian, Bar Food",120,4.9,49
Zazнз Bistrнз Tropical,Rio de Janeiro,Brazilian,170,4.6,21
Filн© De Ouro,Rio de Janeiro,Brazilian,90,4.3,14
D.O.C Ristorante,Rio de Janeiro,Italian,150,4.0,5
Sushi Leblon,Rio de Janeiro,Japanese,250,4.6,25
Talho Capixaba,Rio de Janeiro,"Bakery, Sandwich, Brazilian",120,4.4,13
Leme Light,Rio de Janeiro,Brazilian,40,4.2,7
Shirley,Rio de Janeiro,"Brazilian, Seafood",250,4.2,8
Quiosque Chopp Brahma,Rio de Janeiro,"Bar Food, Brazilian",70,0.0,1
Aprazн_Vel,Rio de Janeiro,Brazilian,300,4.7,44
Aconchego Carioca,Rio de Janeiro,"Brazilian, Bar Food",85,4.6,24
Garota De Ipanema,Rio de Janeiro,"Brazilian, Bar Food",80,4.3,10
Cantina Famiglia Mancini,SнЈo Paulo,"Italian, Pizza",250,4.5,49
Templo Da Carne - Marcos Bassi,SнЈo Paulo,"Steak, BBQ",250,4.4,17
Gopala Hari,SнЈo Paulo,Indian,70,3.1,5
Jiquitaia,SнЈo Paulo,Brazilian,100,4.1,15
Skye - Hotel Unique,SнЈo Paulo,"Beverages, International",300,4.8,59
Les 3 Brasseurs,SнЈo Paulo,"French, Brazilian, Beverages",120,4.6,30
Red Steak & Burger,SнЈo Paulo,"Brazilian, Grill",75,3.9,5
Cantinho Da Gula,SнЈo Paulo,Brazilian,55,0.0,0
Paris 6 Classique,SнЈo Paulo,French,200,3.4,73
Kawa Sushi,SнЈo Paulo,"Sushi, Japanese",120,3.5,9
A Figueira Rubaiyat,SнЈo Paulo,"BBQ, Grill, Brazilian",300,4.3,39
Kinoshita,SнЈo Paulo,Sushi,230,3.9,12
Meats,SнЈo Paulo,"Gourmet Fast Food, Burger",120,4.3,68
Paribar,SнЈo Paulo,"Brazilian, Italian",150,4.3,46
Terraн_O Itнзlia,SнЈo Paulo,Italian,400,4.4,37
Divino Fogнјo,SнЈo Paulo,"Brazilian, Mineira",65,0.0,2
Super Grill,SнЈo Paulo,Brazilian,50,0.0,2
Esquina Mocotн_,SнЈo Paulo,"Brazilian, North Eastern",100,4.4,22
Veloso,SнЈo Paulo,"Brazilian, Bar Food, Beverages",70,4.6,58
Sainte Marie Gastronomia,SнЈo Paulo,"Lebanese, Arabian",120,4.1,11
Austin'S Bbq And Oyster Bar,Albany,"BBQ, Burger, Seafood",25,3.3,35
Bj'S Country Buffet,Albany,"American, BBQ",10,3.3,25
Cookie Shoppe,Albany,Not Specified,0,3.4,34
El Vaquero Mexican Restaurant,Albany,Mexican,0,3.4,45
Elements Coffee Co - Northwest,Albany,"Coffee and Tea, Sandwich",10,3.4,26
Pearly'S Famous Country Cookng,Albany,Not Specified,0,3.4,36
Chick-Fil-A,Albany,Fast Food,10,3.5,67
Guang Zhou Chinese Restaurant,Albany,"Asian, Chinese, Vegetarian",10,3.9,141
Harvest Moon,Albany,"Pizza, Bar Food, Sandwich",25,3.7,147
Henry Campbell'S Steakhouse,Albany,"Steak, Tapas, Bar Food",70,3.5,51
Hong Kong Cafe,Albany,"Chinese, Seafood, Vegetarian",25,3.6,88
House Of China Restaurant Ii,Albany,Chinese,10,3.8,153
Jimmie'S Hot Dogs,Albany,Not Specified,10,3.9,160
Locos Grill & Pub,Albany,"American, Burger, Sandwich",25,3.5,57
Longhorn Steakhouse,Albany,"American, Steak",25,3.5,58
Mikata Japanese Steakhouse,Albany,"Japanese, Steak, Sushi",40,3.6,115
Shogun Japanese Steak House,Albany,"Japanese, Steak, Sushi",40,3.5,51
The Catch Seafood Room & Oyster Bar,Albany,"Seafood, Tapas, Bar Food",40,3.8,250
Villa Gargano,Albany,"Italian, Pizza",10,3.7,117
3 Squares Diner,Albany,"American, Breakfast, Diner",10,3.4,20
Whitebull Hotel,Armidale,"Bar Food, Steak",20,3.5,25
Last Resort Grill,Athens,"American, Southern, Southwestern",40,4.5,1821
Mama'S Boy Restaurant,Athens,Southern,10,4.5,849
Sr. Sol 1,Athens,Mexican,10,4.6,917
Choo Choo Eastside,Athens,"Japanese, Korean",10,3.9,439
The Grill,Athens,"Breakfast, Burger, Sandwich",10,3.7,289
Big City Bread Cafe,Athens,"Breakfast, Sandwich",10,4.3,558
Clocked,Athens,"American, Burger, Sandwich",10,4.2,613
Depalma'S Italian Cafe - Downtown,Athens,"American, Italian, Pizza",25,4.0,353
Depalma'S Italian Cafe - East Side,Athens,"American, Italian, Pizza",25,4.1,387
Five & Ten,Athens,American,40,4.3,755
Grit,Athens,"International, Southern, Vegetarian",10,4.2,800
Ike & Jane,Athens,Sandwich,10,4.1,350
La Dolce Vita Ristorante,Athens,Italian,40,4.1,464
Shokitini,Athens,"Asian, Japanese, Sushi",25,4.2,550
Taqueria Del Sol,Athens,"Mexican, Spanish",10,4.1,543
